"","ID","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol"
"1","Wine1",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
"2","Wine2",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
"3","Wine3",7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8
"4","Wine4",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8
"5","Wine5",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
"6","Wine6",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4
"7","Wine7",7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4
"8","Wine8",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10
"9","Wine9",7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5
"10","Wine10",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
"11","Wine11",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2
"12","Wine12",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
"13","Wine13",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9
"14","Wine14",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1
"15","Wine15",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2
"16","Wine16",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2
"17","Wine17",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5
"18","Wine18",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3
"19","Wine19",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9
"20","Wine20",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2
"21","Wine21",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4
"22","Wine22",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7
"23","Wine23",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
"24","Wine24",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4
"25","Wine25",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7
"26","Wine26",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3
"27","Wine27",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5
"28","Wine28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
"29","Wine29",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4
"30","Wine30",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8
